gene_name,Asn_1,Asn_2,Asn_3,Nitrate_1,Nitrate_2,Nitrate_3,Ni_N1,Ni_N2,Ni_N3,Ni_SM1,Ni_SM2,Ni_SM3
Phatr3_J44622,61,78,45,76,123,49,210,76,120,288,440,519
Phatr3_J34093,1789,1824,2457,2767,3205,1203,3309,2744,3905,866,1069,2072
Phatr3_J44623,1571,1294,1912,847,1197,486,1291,1226,1686,885,918,2048
Phatr3_J11009,2210,1820,3176,1434,1273,835,1818,1753,1947,1299,1326,3469
Phatr3_J34096,4247,3540,5737,2828,3052,1799,3521,3238,4903,4163,4631,12989
Phatr3_J44626,632,520,982,607,728,360,612,629,868,275,452,807
Phatr3_J34098,665,516,887,643,662,577,726,553,809,192,250,581
Phatr3_J44627,744,896,792,370,669,244,908,902,1121,377,456,590
Phatr3_EG02383,13492,10988,14664,12718,18891,8928,20214,16144,24618,6516,7437,15346
Phatr3_EG01582,1565,1733,2357,1619,1889,1294,2050,1376,2188,852,1079,2034
Phatr3_J44630,300,275,413,531,381,501,378,301,451,485,611,1197
Phatr3_J44631,1401,1154,1647,1079,1271,945,1287,1207,1941,876,947,1858
Phatr3_J44632,1871,1369,2347,1284,1445,1140,1920,1649,2114,1264,1424,3459
Phatr3_EG01594,381,315,407,472,596,415,568,420,571,168,291,486
Phatr3_J26290,1622,3606,1551,751,1822,1104,2453,785,1362,1201,1487,1356
Phatr3_EG01567,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J26293,24773,26035,35351,25643,35386,23895,39762,24745,40310,9137,12151,15623
Phatr3_J51703,1564,1345,1666,1849,2603,861,2707,2322,3732,6364,6579,11936
Phatr3_J10970,4729,5847,5992,4371,6584,2201,7050,4312,8430,2574,2924,5143
Phatr3_J26299,6392,6214,7612,4855,6386,4942,7293,5193,9761,4285,5387,7993
Phatr3_J44638,456,340,653,394,458,354,527,371,584,443,457,1071
Phatr3_EG01593,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J11016,2435,2419,3089,2413,3175,1949,3088,2091,3344,1281,1574,2284
Phatr3_J10724,641,569,725,1054,1514,592,1309,1149,1583,262,356,730
Phatr3_J44639,3425,3607,3847,1183,1649,1662,1726,1560,2428,2921,3301,5455
Phatr3_J2793,441,506,630,550,750,730,981,651,914,1124,1146,3028
Phatr3_J44641,864,931,1504,458,421,1159,592,489,614,809,809,1485
Phatr3_J34116,599,443,651,303,440,176,397,366,601,388,391,814
Phatr3_J51708,1427,1109,2059,843,900,464,1161,1180,1591,917,1007,2135
Phatr3_J44643,626,666,799,347,454,32,405,439,669,171,214,355
Phatr3_J34119,3503,2941,3562,2840,4477,1899,4219,3662,6464,3713,4320,8712
Phatr3_EG01547,0,0,0,0,2,0,2,1,1,2,6,0
Phatr3_J34120,2029,2866,1522,1848,4141,1077,3780,3230,5670,1286,1575,2233
Phatr3_J44645,1241,901,1472,635,797,250,723,817,1238,731,820,1779
Phatr3_J44646,779,631,960,423,668,315,690,571,849,576,597,1371
Phatr3_J11099,2006,1468,2343,1055,1269,1108,1644,1315,1820,1344,1461,2816
Phatr3_J34124,662,375,549,397,435,352,391,419,763,485,560,1266
Phatr3_J34125,538,277,538,328,373,336,327,359,597,219,370,372
Phatr3_J44648,2888,1049,1908,856,1335,974,896,1159,2810,1184,1576,1984
Phatr3_EG01544,2183,1713,2784,1117,1418,1490,1846,1279,1861,596,715,1518
Phatr3_J19188,8913,8912,9251,9113,15602,6626,13142,11342,18331,2723,3170,4363
Phatr3_J44651,5298,5266,5343,6013,8455,3076,8491,6419,10791,962,1517,1996
Phatr3_J44652,95,67,100,339,124,62,109,131,158,1267,1274,3685
Phatr3_J19191,570,526,694,601,506,316,616,655,1014,574,551,1458
Phatr3_J34132,24,17,29,13,7,9,2,7,4,554,551,929
Phatr3_J41856,14704,11720,15128,13739,19891,7751,22553,15534,26631,3904,5531,6669
Phatr3_EG01572,0,0,1,0,0,0,0,0,0,0,0,0
Phatr3_J44656,482,353,709,406,481,459,605,422,668,1854,2010,5339
Phatr3_J44657,1976,1433,2931,1172,1287,761,1514,1640,2230,2153,2342,5883
Phatr3_J44658,2116,1688,3049,986,1464,1380,1700,1382,1960,1064,1068,2506
Phatr3_EG01569,353,456,1289,298,470,260,557,176,316,451,1282,1228
Phatr3_J44659,1216,1491,1019,799,1879,763,1936,1530,2425,1558,1796,1612
Phatr3_J34138,41,15,39,25,37,13,56,57,36,34,29,66
Phatr3_J54285,3850,3538,4854,2368,3541,1727,3655,3202,4420,1560,1779,3528
Phatr3_J44661,461,404,490,284,375,181,473,389,499,709,704,1973
Phatr3_J44662,1280,1464,1593,723,1209,1093,1453,1045,1561,675,843,1441
Phatr3_J44663,422,450,477,266,386,295,399,325,515,710,850,1272
Phatr3_J44664,636,438,915,606,428,449,484,520,739,434,682,1001
Phatr3_J44665,561,304,581,742,513,342,534,704,1140,394,570,1148
